ticker,crit5_vcp,range_contracting,volume_contracting,weekly_ranges,weekly_volumes,n_complete_weeks_available
ADM,True,True,True,"[7.1399993896484375, 4.8899993896484375]","[17885200.0, 17647800.0]",2
AFRI,True,True,True,"[0.8360004425048828, 0.6450004577636719]","[132300.0, 102700.0]",2
ANET,True,True,True,"[16.720001220703125, 12.781997680664062]","[22067300.0, 15864400.0]",2
ANF,True,True,True,"[14.30999755859375, 12.720001220703125]","[8984800.0, 6686400.0]",2
ARW,False,False,False,"[15.54998779296875, 17.889999389648438]","[2222700.0, 2883700.0]",2
ASC,True,True,True,"[1.2999992370605469, 1.2800006866455078]","[3108000.0, 1908500.0]",2
AUPH,True,True,True,"[0.5399990081787109, 0.529998779296875]","[3744700.0, 3126200.0]",2
AVT,True,False,True,"[6.065620415919653, 9.239997863769531]","[5601800.0, 4962700.0]",2
BE,True,True,False,"[55.80000305175781, 26.819976806640625]","[62171600.0, 64801700.0]",2
BMRC,True,True,True,"[1.9300003051757812, 1.1100006103515625]","[571300.0, 456500.0]",2
BRKR,True,False,True,"[4.630001068115234, 5.989997863769531]","[8330300.0, 7974800.0]",2
CLOV,False,False,False,"[0.23000001907348633, 0.7200002670288086]","[15493500.0, 18624200.0]",2
CNO,True,True,True,"[2.601427368083307, 2.282475996689584]","[6498100.0, 3460800.0]",2
CNXN,True,True,True,"[6.3699951171875, 4.950004577636719]","[576600.0, 457400.0]",2
COHU,True,False,True,"[7.560001373291016, 7.75]","[4798000.0, 4083600.0]",2
COKE,True,True,False,"[10.819992065429688, 9.039993286132812]","[2050200.0, 2064600.0]",2
CRSR,True,False,True,"[1.3999996185302734, 1.5799999237060547]","[5480700.0, 4276200.0]",2
CRWD,True,True,True,"[33.279998779296875, 10.409988403320312]","[64443100.0, 27954100.0]",2
CXW,True,True,False,"[3.1300010681152344, 1.5699996948242188]","[7722500.0, 9048100.0]",2
DDD,True,True,True,"[0.4199998378753662, 0.26999998092651367]","[12095500.0, 6645400.0]",2
DE,True,True,True,"[64.75, 21.28997802734375]","[8870700.0, 4417500.0]",2
DELL,True,True,True,"[113.0999755859375, 61.5]","[91801400.0, 34335500.0]",2
DHT,True,False,True,"[1.6800003051757812, 1.710000991821289]","[16251900.0, 14371100.0]",2
DJCO,True,False,True,"[43.219970703125, 56.32000732421875]","[350200.0, 204100.0]",2
DOCN,False,False,False,"[11.979995727539062, 22.51000213623047]","[9349100.0, 13238600.0]",2
EBAY,False,False,False,"[6.8300018310546875, 7.989997863769531]","[21675700.0, 21797200.0]",2
ELV,False,False,False,"[25.668283311734797, 36.68618723630112]","[5532200.0, 5645200.0]",2
ESQ,True,True,True,"[11.700004577636719, 5.569999694824219]","[807700.0, 678800.0]",2
EXEL,True,True,True,"[6.290000915527344, 4.8600006103515625]","[11232900.0, 9015500.0]",2
FFIV,True,False,True,"[23.959991455078125, 29.510009765625]","[2351300.0, 1961200.0]",2
FTNT,True,True,True,"[20.709991455078125, 9.979995727539062]","[23445700.0, 12257500.0]",2
FTRE,True,False,True,"[1.3799991607666016, 1.5380001068115234]","[5137200.0, 4930000.0]",2
GEO,True,True,True,"[2.520000457763672, 1.4699993133544922]","[13171700.0, 6613400.0]",2
GRDN,True,True,False,"[5.049999237060547, 4.75]","[2377100.0, 2793400.0]",2
HPE,True,False,True,"[9.15683982904298, 10.323889497299675]","[212820900.0, 116551400.0]",2
