ticker,name,sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac,Financials
A,Agilent Technologies,Health Care
APD,Air Products,Materials
ABNB,Airbnb,Consumer Discretionary
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor,Materials
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AIG,American International Group,Financials
AMT,American Tower,Real Estate
AWK,American Water Works,Utilities
AMP,Ameriprise Financial,Financials
AME,Ametek,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
AON,Aon plc,Financials
APA,APA Corporation,Energy
APO,Apollo Global Management,Financials
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials,Information Technology
APP,AppLovin,Information Technology
APTV,Aptiv,Consumer Discretionary
ACGL,Arch Capital Group,Financials
ADM,Archer Daniels Midland,Consumer Staples
ARES,Ares Management,Financials
ANET,Arista Networks,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Industrials
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
AXON,Axon Enterprise,Industrials
BKR,Baker Hughes,Energy
BALL,Ball Corporation,Materials
BAC,Bank of America,Financials
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BRK-B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BX,Blackstone Inc.,Financials
XYZ,"Block, Inc.",Financials
BNY,BNY Mellon,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Industrials
BRO,Brown & Brown,Financials
BF-B,Brown–Forman,Consumer Staples
BLDR,Builders FirstSource,Industrials
BG,Bunge Global,Consumer Staples
BXP,"BXP, Inc.",Real Estate
CHRW,C.H. Robinson,Industrials
CDNS,Cadence Design Systems,Information Technology
CPT,Camden Property Trust,Real Estate
COF,Capital One,Financials
CAH,Cardinal Health,Health Care
CCL,Carnival Corporation,Consumer Discretionary
CARR,Carrier Global,Industrials
CVNA,Carvana,Consumer Discretionary
CASY,Casey's,Consumer Staples
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW Corporation,Information Technology
COR,Cencora,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CF,CF Industries,Materials
CRL,Charles River Laboratories,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron Corporation,Energy
